scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,16.007011,99.186039,Arctonyx,Carnivora
"Arctonyx albogularis (Blyth, 1853)",Mustelidae,29.633512,119.04812,Arctonyx,Carnivora
"Arctonyx albogularis (Blyth, 1853)",Mustelidae,32.570606,104.787144,Arctonyx,Carnivora
"Arctonyx albogularis (Blyth, 1853)",Mustelidae,32.594588,104.714105,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,26.577532,93.17112,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,11.612,103.349,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,21.453889,105.641944,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,21.453889,105.641944,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,21.453889,105.641944,Arctonyx,Carnivora
"Arctonyx albogularis (Blyth, 1853)",Mustelidae,29.18,109.85,Arctonyx,Carnivora
"Arctonyx collaris leucolaemus (Milne-Edwards, 1867)",Mustelidae,29.533333,103.35,Arctonyx,Carnivora
"Arctonyx collaris dictator Thomas, 1910",Mustelidae,18.494089,98.486306,Arctonyx,Carnivora
"Arctonyx albogularis (Blyth, 1853)",Mustelidae,28.799999,103.155457,Arctonyx,Carnivora
"Arctonyx albogularis (Blyth, 1853)",Mustelidae,28.5,105.050003,Arctonyx,Carnivora
"Arctonyx albogularis (Blyth, 1853)",Mustelidae,28.799999,103.155457,Arctonyx,Carnivora
"Arctonyx albogularis (Blyth, 1853)",Mustelidae,31.333334,103.75,Arctonyx,Carnivora
"Arctonyx albogularis (Blyth, 1853)",Mustelidae,29.083334,103.333336,Arctonyx,Carnivora
"Arctonyx collaris dictator Thomas, 1910",Mustelidae,15.33333,106.333328,Arctonyx,Carnivora
"Arctonyx collaris dictator Thomas, 1910",Mustelidae,15.33333,106.333328,Arctonyx,Carnivora
"Arctonyx collaris dictator Thomas, 1910",Mustelidae,15.33333,106.333328,Arctonyx,Carnivora
"Arctonyx collaris dictator Thomas, 1910",Mustelidae,15.33333,106.333328,Arctonyx,Carnivora
"Arctonyx collaris dictator Thomas, 1910",Mustelidae,21.683331,102.099999,Arctonyx,Carnivora
"Arctonyx collaris dictator Thomas, 1910",Mustelidae,21.683331,102.099999,Arctonyx,Carnivora
"Arctonyx albogularis (Blyth, 1853)",Mustelidae,27.066666,100.199997,Arctonyx,Carnivora
"Arctonyx leucolaemus orestes Thomas, 1911",Mustelidae,34,107.75,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,4.633333,96.833333,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,4.633333,96.833333,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,22.766666,111.566666,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,28.316668,109.716667,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,28.316668,109.716667,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,28.700001,109.669998,Arctonyx,Carnivora
"Arctonyx Cuvier, 1825",Mustelidae,31.683332,118.866669,Arctonyx,Carnivora
"Arctonyx Cuvier, 1825",Mustelidae,23,111.699997,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,21.950001,106.366669,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,33.134167,110.217781,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,24.674168,113.580559,Arctonyx,Carnivora
"Arctonyx collaris leucolaemus (Milne-Edwards, 1867)",Mustelidae,39,115.666667,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,12.373746,75.815918,Arctonyx,Carnivora
"Arctonyx collaris albogularis (Blyth, 1853)",Mustelidae,26.545,117.842778,Arctonyx,Carnivora
"Arctonyx albogularis (Blyth, 1853)",Mustelidae,26.633329,118.166672,Arctonyx,Carnivora
"Arctonyx albogularis (Blyth, 1853)",Mustelidae,25.716667,119.366669,Arctonyx,Carnivora
"Arctonyx collaris albogularis (Blyth, 1853)",Mustelidae,25.433333,119.216667,Arctonyx,Carnivora
"Arctonyx collaris Geoffroy Saint-Hilaire & Cuvier, 1825",Mustelidae,3.13536,99.01315,Arctonyx,Carnivora
